Query,ExecutionTime_ms
10b.sql,0.35
10c.sql,0.34
11a.sql,6.562
11b.sql,12.541
11c.sql,5444.068
11d.sql,718.732
13a.sql,150.794
13d.sql,130.8
14c.sql,1690.794
15a.sql,129.9
15d.sql,179.167
16a.sql,123.594
16b.sql,122.788
16c.sql,138.335
17a.sql,128.624
17b.sql,215.479
17c.sql,126.755
17d.sql,126.633
17e.sql,109.716
17f.sql,693.374
18a.sql,152.851
18c.sql,124.406
19b.sql,1.317
19c.sql,0.862
19d.sql,0.888
1a.sql,273.301
1b.sql,272.932
20c.sql,2350.413
21c.sql,14.969
22b.sql,3.688
22d.sql,1942.375
23a.sql,1.47
23b.sql,0.982
23c.sql,1002.301
24a.sql,0.467
24b.sql,0.227
25a.sql,143.396
25b.sql,121.492
25c.sql,128.061
26a.sql,12912.33
26b.sql,904.992
26c.sql,3515.321
27a.sql,0.417
27b.sql,0.444
27c.sql,0.645
28a.sql,128.547
28b.sql,3530.437
28c.sql,77.03
29a.sql,81.27
29b.sql,0.478
29c.sql,0.313
2a.sql,136.486
2b.sql,125.871
2c.sql,122.201
2d.sql,2160.884
30a.sql,134.657
30b.sql,0.835
30c.sql,0.265
31a.sql,0.247
31b.sql,0.221
31c.sql,0.266
32a.sql,673.229
32b.sql,666.162
33a.sql,758.265
33b.sql,1094.762
33c.sql,1268.759
3a.sql,128.457
3b.sql,194.804
3c.sql,1321.339
4a.sql,1540.988
4b.sql,1527.408
4c.sql,1359.735
5a.sql,20.64
5b.sql,0.564
5c.sql,0.711
6a.sql,124.08
6b.sql,132.135
6c.sql,129.012
6d.sql,134.096
6e.sql,125.113
6f.sql,662.46
7a.sql,0.171
7b.sql,0.197
7c.sql,62.047
8a.sql,0.259
8b.sql,0.252
8c.sql,0.46
8d.sql,0.387
9a.sql,1.153
9b.sql,0.527
9c.sql,0.743
9d.sql,0.719
